R12,5k1,TopLayer,RESC1005X37N,400,832.992,90,62.5mW Thick Film Resistors 50V RES SMD 5.1K OHM 1% 1/16W 0402▽100ppm/﹎ ▽1% 5.1k目 0402 Chip Resistor - Surface Mount ROHS
R11,5k1,TopLayer,RESC1005X37N,415,725,270,62.5mW Thick Film Resistors 50V RES SMD 5.1K OHM 1% 1/16W 0402▽100ppm/﹎ ▽1% 5.1k目 0402 Chip Resistor - Surface Mount ROHS
R10,4k7,TopLayer,RESC1005X37N,890,660,0,RES 4.7K OHM 1% 1/16W 0402
R8,0R,TopLayer,RESC1005X37N,595,585,90,RES 0 OHM JUMPER 1/16W 0402
R7,27R,TopLayer,RESC1005X37N,540,785,0,RES 27 OHM 1% 1/16W 0402
R6,27R,TopLayer,RESC1005X37N,540,735,0,RES 27 OHM 1% 1/16W 0402
R5,0R,TopLayer,RESC1005X37N,915,865,180,RES 0 OHM JUMPER 1/16W 0402
R4,1K,TopLayer,RESC1005X37N,1790,800,270,RES 1K OHM 1% 1/16W 0402
R3,1K,TopLayer,RESC1005X37N,1790,200,90,RES 1K OHM 1% 1/16W 0402
R1,0R,TopLayer,RESC1005X37N,708,505,0,RES 0 OHM JUMPER 1/16W 0402
Q2,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1112.423,812.598,0,TRANS NPN 25V 1.5A SOT-23-3
Q1,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1120,670,0,TRANS NPN 25V 1.5A SOT-23-3
D8,AQ3045-01ETG,TopLayer,SOD882,337,167.205,90,TVS DIODE 5.3VWM 12VC SOD882
D7,AQ3045-01ETG,TopLayer,SOD882,335,234.795,270,TVS DIODE 5.3VWM 12VC SOD882
D6,AQ3045-01ETG,TopLayer,SOD882,340,370,0,TVS DIODE 5.3VWM 12VC SOD882
D5,AQ3045-01ETG,TopLayer,SOD882,340,737.205,90,TVS DIODE 5.3VWM 12VC SOD882
D4,AQ3045-01ETG,TopLayer,SOD882,335,822.795,270,TVS DIODE 5.3VWM 12VC SOD882
D3,AQ3045-01ETG,TopLayer,SOD882,335,630,0,TVS DIODE 5.3VWM 12VC SOD882
D2,RED,TopLayer,LED0402R,1730,800,270,LED RED 0402 SMD
D1,GREEN,TopLayer,LED0402G,1730,200,90,LED YLW-GRN 0402 SMD
C16,"1uF, 35V",TopLayer,CAPC1005X65N,1650,205,90,CAP CER 1UF 35V X5R 0402
C15,"100nF, 50V",TopLayer,CAPC1005X65N,2545,855,180,CAP CER 0.1UF 50V X7R 0402
C14,"10uF, 10V",TopLayer,CAPC1005X65N,2450,855,0,CAP CER 10UF 10V X5R 0402
C13,"10uF, 10V",TopLayer,CAPC1005X65N,525,220,270,CAP CER 10UF 10V X5R 0402
C12,"10uF, 10V",TopLayer,CAPC1005X65N,580,220,270,CAP CER 10UF 10V X5R 0402
C11,"4u7, 16V",TopLayer,CAPC1005X65N,580,362.795,90,CAP CER 4.7UF 16V X5R 0402
C10,"100nF, 50V",TopLayer,CAPC1005X65N,440,370,180,CAP CER 0.1UF 50V X7R 0402
C9,"100nF, 50V",TopLayer,CAPC1005X65N,530,850,0,CAP CER 0.1UF 50V X7R 0402
C8,"100nF, 50V",TopLayer,CAPC1005X65N,535,680,0,CAP CER 0.1UF 50V X7R 0402
C6,"100nF, 50V",TopLayer,CAPC1005X65N,920,810,180,CAP CER 0.1UF 50V X7R 0402
C5,"100nF, 50V",TopLayer,CAPC1005X65N,2640,855,180,CAP CER 0.1UF 50V X7R 0402
C4,"100nF, 50V",TopLayer,CAPC1005X65N,2637.795,142,0,CAP CER 0.1UF 50V X7R 0402
C3,"100nF, 50V",TopLayer,CAPC1005X65N,740,615,180,CAP CER 0.1UF 50V X7R 0402
C1,"100nF, 50V",TopLayer,CAPC1005X65N,435,630,180,CAP CER 0.1UF 50V X7R 0402
